size,loc
1.60546875,16
1.91015625,16
1.462890625,17
1.5751953125,17
1.775390625,16
1.1279296875,12
0.22265625,7
0.7607421875,10
2.5009765625,22
0.66796875,11
0.99609375,11
1.6435546875,15
2.2158203125,18
0.2021484375,7
2.4248046875,17
0.3193359375,7
0.986328125,13
0.2470703125,8
0.47265625,7
1.3564453125,13
1.748046875,20
4.341796875,28
1.55859375,17
3.318359375,29
0.7900390625,11
2.3583984375,24
2.8857421875,23
0.267578125,7
1.734375,11
0.3505859375,7
1.404296875,11
0.2119140625,7
0.845703125,10
0.3115234375,7
1.5224609375,15
1.689453125,15
1.04296875,10
1.9990234375,21
2.568359375,17
1.1767578125,11
2.0439453125,18
0.9931640625,11
1.2900390625,13
0.3583984375,8
1.3447265625,12
1.6630859375,16
0.927734375,15
2.2333984375,18
1.875,13
1.2744140625,14
1.322265625,12
3.0,23
2.330078125,20
2.9521484375,21
1.79296875,19
2.658203125,22
0.7490234375,8
2.4208984375,23
1.0390625,14
3.07421875,23
0.2626953125,7
3.27734375,23
0.28515625,8
2.0224609375,14
6.525390625,39
1.626953125,16
5.0419921875,36
0.6552734375,10
2.8447265625,20
0.9580078125,13
0.662109375,10
2.5712890625,20
3.498046875,25
0.541015625,11
1.357421875,13
3.8984375,28
0.677734375,9
4.3095703125,29
0.556640625,9
2.4267578125,19
1.6650390625,14
4.6728515625,31
9.2841796875,30
4.03515625,22
0.919921875,10
0.447265625,7
2.2958984375,20
1.041015625,13
3.2099609375,28
0.208984375,8
6.2431640625,34
2.62109375,24
1.7197265625,16
2.59765625,20
1.5166015625,13
2.0234375,17
1.5576171875,13
1.78125,17
1.54296875,17
2.7119140625,23
1.056640625,14
2.650390625,23
2.8447265625,20
3.04296875,23
1.0244140625,13
1.55859375,17
1.783203125,16
1.1298828125,14
1.7734375,17
0.1787109375,7
1.9658203125,16
6.4091796875,32
1.0771484375,16
2.228515625,21
3.765625,26
0.947265625,11
0.6015625,10
1.7802734375,15
1.0986328125,12
0.623046875,10
1.236328125,14
3.12109375,21
0.7177734375,12
1.01171875,12
1.7939453125,18
2.8046875,24
3.1103515625,29
1.82421875,18
0.755859375,11
2.3916015625,15
2.7001953125,17
0.9169921875,13
0.912109375,11
0.1845703125,7
2.455078125,17
1.2099609375,11
1.4970703125,12
0.201171875,7
3.666015625,17
1.3828125,13
0.630859375,8
2.06640625,16
2.4423828125,19
0.2744140625,7
2.3203125,18
1.09765625,10
1.7275390625,13
2.6298828125,17
3.25390625,21
2.134765625,13
1.1337890625,13
1.525390625,17
1.14453125,11
2.1943359375,17
1.5205078125,13
1.71484375,13
2.4931640625,18
1.7255859375,12
0.48828125,10
0.947265625,11
1.5302734375,15
0.8916015625,9
0.689453125,9
1.4912109375,13
5.755859375,32
1.1953125,11
1.7265625,14
2.607421875,24
3.7177734375,23
0.6435546875,10
0.2939453125,7
0.8662109375,11
0.2705078125,8
3.79296875,22
1.5498046875,14
0.515625,8
2.7529296875,22
1.9853515625,13
1.5263671875,14
0.478515625,8
1.763671875,16
0.943359375,11
2.072265625,20
0.3486328125,8
1.017578125,10
2.2861328125,20
2.6005859375,19
1.1767578125,11
1.48828125,14
1.1767578125,9
1.2861328125,15
1.544921875,15
3.5234375,22
2.4111328125,14
0.8505859375,9
0.837890625,8
1.583984375,17
0.8154296875,16
2.013671875,16
2.259765625,20
3.7373046875,27
1.0380859375,11
0.921875,14
2.5498046875,19
1.1962890625,10
0.744140625,13
2.751953125,21
1.068359375,10
0.4873046875,8
4.4169921875,36
1.734375,15
6.0546875,36
1.970703125,13
2.4697265625,20
1.3134765625,13
1.51171875,10
2.4970703125,21
2.10546875,14
2.701171875,21
0.212890625,7
1.697265625,15
0.5439453125,9
1.4228515625,15
2.7255859375,21
1.8203125,17
0.724609375,8
1.544921875,13
1.345703125,13
1.9306640625,18
6.0771484375,42
3.33203125,17
0.8173828125,9
2.197265625,20
1.5908203125,14
1.0859375,12
1.8525390625,15
1.84765625,20
3.2666015625,23
1.443359375,12
5.0751953125,36
0.8837890625,9
0.8994140625,9
3.1923828125,23
0.2001953125,7
3.0458984375,24
1.8369140625,13
3.10546875,26
2.0576171875,14
2.390625,20
0.8447265625,11
0.2373046875,7
3.7607421875,29
0.5869140625,7
4.251953125,25
4.392578125,28
2.0322265625,16
1.6826171875,19
0.751953125,10
4.8857421875,32
0.5322265625,9
0.994140625,10
3.3154296875,24
0.224609375,8
0.7822265625,10
3.646484375,24
3.216796875,28
2.138671875,17
1.1474609375,11
0.2373046875,7
3.705078125,27
5.4013671875,39
0.2705078125,7
2.978515625,15
1.4375,12
1.2919921875,14
2.201171875,17
0.3583984375,8
1.5078125,13
6.1015625,39
2.587890625,15
2.201171875,22
2.068359375,18
0.6923828125,10
4.232421875,26
3.748046875,25
1.7021484375,13
1.826171875,13
0.74609375,9
0.6435546875,8
1.35546875,11
0.86328125,10
1.91015625,18
1.56640625,14
2.9931640625,24
2.2294921875,20
1.951171875,17
0.673828125,10
5.9130859375,36
0.4033203125,8
1.208984375,11
1.55859375,14
0.7763671875,10
2.783203125,23
1.0458984375,14
0.9033203125,12
0.53125,9
0.9833984375,10
3.9287109375,33
1.00390625,9
4.189453125,28
3.6259765625,24
1.009765625,14
2.267578125,19
3.7578125,29
3.8974609375,33
1.0830078125,14
4.5322265625,23
1.0849609375,9
4.7587890625,27
1.970703125,22
2.4453125,23
2.5556640625,17
1.0634765625,12
1.142578125,12
3.216796875,24
2.060546875,21
1.548828125,16
1.8271484375,16
0.8037109375,10
2.8388671875,19
2.7001953125,20
0.224609375,7
0.2509765625,7
