size,loc
1.1123046875,10
1.4296875,12
2.064453125,14
0.4365234375,5
1.5986328125,10
0.83984375,12
2.3720703125,15
1.185546875,8
1.00390625,9
1.16015625,11
1.7890625,11
1.623046875,13
0.5224609375,7
0.4384765625,6
1.3017578125,13
0.685546875,7
1.201171875,11
1.947265625,16
0.9931640625,9
0.3408203125,5
1.1787109375,11
0.6591796875,6
0.2451171875,5
1.66015625,16
1.205078125,9
1.8466796875,12
0.7255859375,6
2.9833984375,19
0.9755859375,7
1.9619140625,16
0.384765625,6
0.822265625,7
0.6328125,8
1.5517578125,11
1.81640625,16
1.51953125,13
0.427734375,6
0.1982421875,5
2.265625,9
2.240234375,21
1.03515625,8
1.447265625,9
0.259765625,5
0.359375,5
1.19921875,13
0.4619140625,7
0.4658203125,7
0.6904296875,6
1.9599609375,14
0.876953125,12
1.0927734375,6
0.9013671875,7
2.4189453125,19
0.69921875,7
0.8642578125,9
0.22265625,5
4.333984375,29
0.3095703125,5
0.59765625,7
0.5380859375,7
0.732421875,6
0.4052734375,5
1.33984375,13
2.1865234375,19
1.814453125,13
0.8515625,10
1.6220703125,11
1.119140625,11
0.60546875,8
1.35546875,7
1.5732421875,10
1.4306640625,11
0.55078125,8
0.505859375,6
0.7568359375,8
0.2294921875,5
0.74609375,10
1.30078125,13
0.9912109375,9
2.5546875,25
1.27734375,14
1.4228515625,12
0.8505859375,9
0.501953125,7
0.6435546875,8
0.947265625,9
1.55078125,8
0.859375,8
0.3701171875,6
0.5166015625,6
0.8505859375,7
1.35546875,13
2.48046875,13
0.53515625,8
1.501953125,12
0.259765625,5
2.6494140625,19
1.8076171875,15
0.28515625,6
0.978515625,9
0.8896484375,8
0.7421875,5
3.00390625,19
1.6083984375,14
1.7978515625,15
1.1513671875,8
0.39453125,7
1.5205078125,12
0.6142578125,6
0.6455078125,9
1.544921875,13
1.7099609375,11
0.2861328125,6
0.8388671875,11
2.4296875,14
0.3525390625,6
0.5029296875,7
0.9501953125,12
0.8232421875,13
0.9443359375,10
0.3193359375,6
1.11328125,8
0.533203125,7
0.8544921875,7
0.5126953125,7
1.80859375,12
0.2685546875,6
2.396484375,20
1.96484375,12
0.287109375,5
0.5654296875,5
0.28125,5
1.619140625,14
0.8779296875,7
0.619140625,7
1.15625,8
1.9208984375,16
1.9384765625,14
1.7509765625,13
1.6787109375,15
3.0166015625,20
1.052734375,13
1.4423828125,11
2.3115234375,15
2.1513671875,10
1.2470703125,9
0.64453125,10
1.4443359375,13
0.3955078125,6
0.2724609375,6
0.2958984375,5
0.9345703125,6
1.88671875,13
1.326171875,15
0.759765625,10
1.0712890625,10
0.2587890625,6
0.34765625,5
1.9716796875,18
1.2265625,13
2.9521484375,16
0.7841796875,8
0.400390625,6
0.4248046875,7
1.490234375,11
0.3779296875,7
0.1796875,5
1.1865234375,10
0.2236328125,5
1.3134765625,15
1.328125,11
1.69921875,13
1.255859375,11
1.27734375,9
0.388671875,6
1.0732421875,8
0.80859375,6
1.50390625,13
1.375,16
2.041015625,14
3.1220703125,21
0.8388671875,9
0.9775390625,8
2.1103515625,16
0.8515625,6
0.8525390625,8
2.0263671875,12
0.9521484375,12
0.8193359375,7
1.3974609375,11
0.5205078125,7
0.94140625,10
0.369140625,7
1.00390625,11
0.3154296875,7
1.33984375,11
0.623046875,8
0.8564453125,7
0.669921875,7
3.09765625,21
1.2119140625,8
1.5390625,12
0.2333984375,5
1.6728515625,12
2.3466796875,18
1.4697265625,12
1.658203125,14
2.712890625,19
1.125,13
2.3017578125,12
1.634765625,13
1.5712890625,10
0.6796875,8
1.61328125,16
3.3115234375,17
0.9638671875,10
1.4580078125,14
1.0625,10
0.67578125,9
0.529296875,7
1.619140625,12
2.814453125,23
0.5380859375,7
0.7822265625,6
0.505859375,6
1.0810546875,8
0.244140625,5
1.6064453125,9
0.3466796875,6
1.423828125,10
0.630859375,9
0.4775390625,7
1.908203125,14
1.09375,10
1.7353515625,14
1.443359375,9
1.2197265625,9
1.375,9
1.1533203125,8
1.0693359375,9
1.484375,12
0.35546875,6
0.8779296875,10
0.2978515625,6
1.375,12
1.2763671875,10
0.7861328125,10
0.5166015625,7
1.69921875,11
0.326171875,6
0.55078125,5
1.1240234375,9
0.6435546875,5
1.08984375,11
0.3125,6
2.78125,18
3.1982421875,20
0.4228515625,5
1.2431640625,6
0.779296875,8
1.9404296875,15
0.3505859375,7
3.2119140625,27
2.9638671875,20
0.296875,5
0.84375,10
1.291015625,11
1.337890625,7
1.873046875,11
0.9208984375,8
2.0986328125,18
0.865234375,9
1.1484375,9
2.02734375,17
1.404296875,13
1.078125,9
0.8720703125,10
0.5498046875,7
2.77734375,17
1.3642578125,14
0.5185546875,6
1.521484375,14
0.720703125,7
1.056640625,9
1.4501953125,12
1.025390625,10
3.5830078125,16
0.56640625,8
0.8623046875,7
1.7421875,13
0.6337890625,6
1.388671875,13
0.7890625,8
1.0234375,7
0.4267578125,7
1.3828125,15
1.134765625,9
1.2041015625,12
0.484375,6
1.853515625,12
1.00390625,8
0.34375,5
1.7294921875,13
1.4111328125,11
1.642578125,11
1.9677734375,16
0.93359375,10
0.8173828125,7
1.125,10
1.322265625,7
1.4453125,9
0.646484375,5
1.2255859375,10
0.9736328125,7
0.5927734375,7
1.6357421875,11
0.5537109375,7
3.3515625,16
1.3447265625,9
0.7392578125,8
0.7763671875,8
0.3876953125,5
1.5361328125,15
1.1298828125,8
2.7509765625,17
0.9599609375,10
1.21484375,11
1.091796875,10
1.1259765625,11
0.5634765625,8
1.796875,15
1.505859375,12
1.6748046875,9
0.3349609375,6
0.650390625,8
1.7421875,19
1.2255859375,10
0.669921875,7
0.634765625,8
1.013671875,7
0.2666015625,6
1.3916015625,9
1.15234375,10
1.4716796875,10
1.5400390625,10
0.6005859375,8
0.390625,6
2.318359375,12
0.3251953125,5
4.2587890625,26
0.875,8
0.20703125,5
1.3759765625,11
0.98828125,9
3.14453125,15
0.330078125,6
0.8427734375,9
2.9248046875,22
0.525390625,8
1.408203125,9
2.5146484375,19
0.978515625,8
3.9716796875,23
2.712890625,17
0.353515625,7
1.4267578125,11
0.4609375,7
0.583984375,6
0.2861328125,5
0.7861328125,8
1.1787109375,8
1.3837890625,10
1.05859375,11
1.8291015625,13
0.8876953125,6
0.2568359375,6
0.443359375,5
1.5322265625,8
4.0517578125,31
1.23828125,7
1.015625,9
0.3046875,5
3.205078125,17
0.8291015625,7
0.40625,5
1.0380859375,7
0.7646484375,9
0.2763671875,6
0.3828125,6
2.49609375,17
1.162109375,12
2.845703125,21
0.4365234375,8
0.328125,6
0.75,8
0.5810546875,5
0.2841796875,6
1.0244140625,10
0.392578125,7
1.328125,13
0.92578125,11
0.41796875,6
0.4873046875,6
1.19140625,10
0.7021484375,8
1.0400390625,12
1.73828125,12
0.8876953125,10
2.2470703125,17
1.3388671875,10
0.583984375,6
1.06640625,11
2.1708984375,15
0.6923828125,9
0.802734375,6
1.7998046875,11
2.1962890625,15
0.435546875,5
1.2626953125,10
2.166015625,16
0.7568359375,7
0.923828125,10
1.009765625,9
0.4033203125,8
1.4443359375,12
1.677734375,15
1.2392578125,11
1.228515625,14
0.34765625,5
2.2236328125,14
1.029296875,9
0.330078125,7
1.4931640625,14
0.6845703125,8
1.041015625,10
0.2138671875,5
0.376953125,6
0.6298828125,8
1.744140625,12
1.72265625,18
1.541015625,12
2.083984375,13
1.8076171875,15
0.392578125,6
0.7919921875,7
1.087890625,7
1.6533203125,16
1.9609375,16
1.0029296875,8
0.3857421875,5
2.5517578125,14
1.5185546875,14
0.68359375,10
2.4833984375,22
1.2783203125,7
1.07421875,10
0.6015625,6
1.8154296875,15
0.6923828125,8
1.490234375,11
0.2939453125,6
3.326171875,21
0.74609375,6
1.3720703125,11
1.396484375,11
0.943359375,8
1.1943359375,12
0.796875,8
1.6328125,13
0.4228515625,6
0.2529296875,5
0.5859375,8
1.7568359375,12
0.232421875,5
1.3828125,9
2.7421875,18
0.787109375,9
1.197265625,10
0.7265625,6
1.890625,13
0.2236328125,5
3.2724609375,18
0.6875,5
0.8828125,8
0.5771484375,7
0.857421875,6
0.8935546875,12
1.1796875,10
1.708984375,9
0.724609375,8
0.8193359375,7
1.1416015625,9
0.330078125,7
0.4892578125,5
0.35546875,5
1.513671875,11
0.6337890625,7
0.513671875,7
0.6728515625,7
1.369140625,13
0.388671875,6
1.0859375,9
1.2177734375,9
1.5322265625,15
0.5439453125,6
1.453125,9
0.3447265625,5
1.953125,13
1.80859375,10
0.48046875,6
0.560546875,8
0.3408203125,6
2.2353515625,18
1.505859375,13
1.6181640625,11
1.283203125,11
2.787109375,21
0.3212890625,6
1.826171875,12
0.6845703125,7
2.15234375,11
0.869140625,8
1.5693359375,13
0.4130859375,6
1.275390625,11
0.7587890625,8
0.876953125,11
2.2509765625,21
0.2529296875,6
0.962890625,12
0.5673828125,7
0.6162109375,6
0.3671875,6
0.4423828125,5
0.970703125,11
1.9404296875,17
3.4892578125,27
1.4658203125,9
0.9345703125,11
0.9052734375,8
1.9228515625,13
0.640625,8
1.0,12
1.8486328125,9
1.9736328125,17
1.13671875,10
1.1474609375,10
0.33984375,6
1.607421875,13
0.2626953125,6
0.453125,6
1.560546875,11
0.669921875,8
3.154296875,21
1.271484375,11
2.5927734375,18
0.3271484375,6
0.5947265625,7
1.6015625,11
0.2744140625,6
0.392578125,5
0.603515625,6
0.85546875,8
1.0546875,12
0.9580078125,8
2.763671875,22
0.294921875,5
0.556640625,5
0.494140625,7
1.4912109375,18
1.0234375,10
1.380859375,9
1.84375,13
0.8115234375,8
1.8671875,14
0.560546875,6
1.2529296875,12
1.908203125,14
0.3701171875,5
2.37109375,15
0.8876953125,8
1.4755859375,12
1.75390625,13
1.2275390625,8
0.34765625,5
0.328125,6
1.0126953125,12
0.912109375,13
1.322265625,11
2.9541015625,18
3.041015625,15
1.7109375,15
1.1669921875,9
1.8232421875,12
1.927734375,12
1.0986328125,10
1.0703125,10
0.71484375,10
0.40625,6
0.5625,7
0.755859375,8
1.126953125,7
1.1455078125,9
3.0341796875,16
0.4755859375,7
2.166015625,16
1.3857421875,13
0.59765625,7
4.3828125,30
1.068359375,11
1.751953125,17
0.4482421875,6
1.328125,14
1.6328125,14
0.3134765625,6
2.2119140625,19
1.6123046875,17
0.6142578125,6
0.521484375,6
0.3115234375,6
0.6591796875,7
1.1865234375,14
0.3095703125,6
0.357421875,6
1.0068359375,10
1.7666015625,11
1.287109375,10
0.435546875,6
0.3447265625,6
0.349609375,5
0.3662109375,6
0.9208984375,9
0.931640625,9
1.38671875,11
1.2353515625,9
0.71484375,8
2.0771484375,12
1.63671875,13
0.611328125,9
1.8486328125,16
2.3828125,15
0.3828125,6
1.859375,14
0.2392578125,5
0.318359375,5
2.3203125,10
0.3994140625,6
0.408203125,7
1.1669921875,8
2.83984375,21
1.19140625,10
1.1015625,10
0.294921875,5
1.2802734375,11
1.3994140625,10
0.3701171875,6
0.9677734375,8
0.765625,7
1.5234375,10
1.568359375,13
0.3525390625,6
1.73046875,12
0.9404296875,9
0.8828125,12
0.798828125,8
0.43359375,7
