size,loc
0.8037109375,7
0.7802734375,9
1.2353515625,8
1.58203125,10
2.8583984375,18
2.1474609375,15
1.951171875,11
1.3857421875,10
1.9677734375,10
3.81640625,23
1.3896484375,9
2.0546875,17
0.267578125,5
1.27734375,10
1.8896484375,16
0.5966796875,5
0.611328125,5
0.8564453125,8
0.3984375,5
5.34375,28
1.78515625,8
5.3603515625,35
4.791015625,32
1.3759765625,12
0.7294921875,6
3.033203125,20
4.1904296875,19
0.5,7
2.125,13
0.9482421875,9
1.6787109375,16
1.396484375,9
4.1025390625,23
1.984375,11
1.87109375,12
1.03125,5
1.0400390625,9
3.3388671875,20
0.6064453125,5
2.16015625,19
3.3798828125,27
0.8154296875,7
0.9609375,7
0.939453125,8
3.1591796875,19
2.6708984375,16
3.013671875,21
0.8994140625,7
0.814453125,6
2.46484375,16
4.4033203125,30
2.2998046875,13
1.2138671875,7
0.40625,6
2.234375,15
2.40234375,15
5.2138671875,38
0.3203125,5
2.427734375,15
1.1416015625,10
2.236328125,12
1.0703125,10
0.935546875,8
0.4375,5
1.435546875,9
1.7412109375,13
1.7666015625,8
2.080078125,13
1.5185546875,15
1.6357421875,10
1.4638671875,10
2.513671875,22
6.9638671875,31
0.6806640625,7
0.4443359375,6
1.7109375,12
0.4169921875,5
0.421875,6
2.294921875,19
0.4140625,5
3.3212890625,27
1.57421875,12
2.9091796875,20
0.849609375,8
1.294921875,12
3.99609375,25
1.7861328125,15
0.724609375,10
2.42578125,14
1.1630859375,14
1.4150390625,18
2.6875,14
1.4091796875,12
1.21875,8
3.81640625,20
2.443359375,13
2.443359375,20
2.041015625,16
1.6884765625,14
0.4638671875,5
1.6220703125,12
2.2890625,14
0.7578125,8
1.390625,15
1.9697265625,10
0.8115234375,7
1.859375,12
0.4365234375,5
5.734375,45
1.2451171875,8
2.25,15
0.4833984375,5
2.2333984375,15
3.4306640625,24
4.5654296875,24
1.9384765625,12
2.0888671875,16
0.4521484375,5
1.0791015625,8
0.6357421875,8
4.224609375,20
1.85546875,14
1.31640625,9
5.6220703125,32
0.6611328125,8
3.2216796875,23
0.341796875,5
1.203125,11
0.6982421875,6
1.6708984375,10
2.505859375,21
1.6396484375,10
1.927734375,14
1.505859375,14
0.6982421875,6
0.5576171875,6
1.3583984375,7
1.21875,10
1.0888671875,9
3.1796875,16
0.955078125,7
3.1728515625,22
3.0439453125,22
2.3271484375,18
2.46484375,15
0.7763671875,7
2.25390625,20
2.302734375,13
0.5927734375,7
1.388671875,11
1.2939453125,9
1.185546875,9
0.8935546875,8
1.7763671875,13
1.25,7
0.7607421875,6
1.2373046875,12
1.080078125,9
0.7001953125,9
3.01953125,16
0.9853515625,5
1.0576171875,9
0.685546875,6
2.0087890625,17
1.0751953125,10
0.9404296875,9
2.970703125,21
0.599609375,8
1.068359375,8
1.947265625,16
2.31640625,17
3.4091796875,19
3.5947265625,22
2.21875,17
5.017578125,29
0.8642578125,9
1.4443359375,12
0.681640625,6
0.6298828125,6
1.5,12
1.00390625,8
0.8427734375,6
0.8896484375,8
0.439453125,6
1.6435546875,13
2.8916015625,23
0.724609375,6
2.1875,10
0.986328125,8
1.005859375,7
0.6474609375,7
2.3271484375,20
0.81640625,7
1.103515625,10
1.9951171875,12
0.7939453125,8
1.15625,9
0.603515625,6
1.650390625,12
1.0146484375,7
0.8955078125,8
1.052734375,9
1.412109375,11
0.4462890625,5
2.0478515625,14
3.357421875,22
0.400390625,5
0.341796875,5
1.5712890625,14
2.146484375,9
3.1298828125,22
2.07421875,15
0.2802734375,5
1.7646484375,13
3.6015625,21
1.037109375,9
1.947265625,16
0.3642578125,5
0.2822265625,5
3.80078125,20
1.2421875,8
0.7568359375,9
1.9921875,10
1.51953125,13
8.4638671875,48
0.9306640625,10
0.6884765625,6
4.92578125,31
1.6435546875,9
0.8857421875,8
1.4267578125,11
0.666015625,8
3.3232421875,19
0.330078125,6
2.9443359375,20
3.328125,17
1.83203125,13
5.35546875,37
1.4033203125,12
1.0703125,8
0.5224609375,6
3.298828125,21
1.3037109375,10
2.595703125,15
0.330078125,5
1.8876953125,14
3.990234375,23
2.7236328125,14
1.90625,17
1.4873046875,10
0.8212890625,6
7.4697265625,41
1.4091796875,13
6.01953125,43
3.353515625,20
1.8740234375,18
0.669921875,7
1.1083984375,9
3.6826171875,25
0.5322265625,6
1.5576171875,13
0.5859375,8
0.5751953125,6
2.669921875,18
5.2587890625,25
0.486328125,7
1.6650390625,11
0.9462890625,7
1.5234375,11
0.326171875,5
1.0283203125,8
4.052734375,21
2.4921875,16
1.1376953125,9
1.0224609375,8
3.8857421875,24
0.5029296875,6
1.3349609375,13
0.95703125,8
1.5986328125,12
1.26171875,10
1.94140625,13
1.599609375,13
2.1337890625,11
0.8828125,6
5.0869140625,31
1.0927734375,11
1.763671875,10
0.986328125,9
4.3203125,19
0.7822265625,7
4.453125,26
2.013671875,15
0.8642578125,7
2.9326171875,18
0.8427734375,8
0.3203125,5
0.8056640625,6
1.0361328125,9
2.2451171875,17
0.41796875,7
1.9970703125,15
2.5390625,16
2.408203125,15
0.6376953125,7
1.0712890625,10
0.564453125,6
2.283203125,18
2.0576171875,13
0.61328125,8
1.2080078125,9
0.240234375,5
1.3935546875,13
3.7568359375,26
1.5283203125,11
0.3818359375,7
1.462890625,11
1.9990234375,14
1.9169921875,12
3.30078125,19
3.6279296875,24
2.658203125,13
1.4228515625,12
0.974609375,11
3.9189453125,25
2.1708984375,15
1.025390625,7
3.10546875,18
1.646484375,13
2.052734375,17
2.951171875,17
1.8974609375,13
2.09375,13
0.833984375,8
3.0751953125,17
0.8232421875,7
1.8232421875,12
1.9560546875,13
2.142578125,13
2.9375,23
2.0654296875,13
2.7265625,19
1.3408203125,8
2.037109375,13
1.05078125,10
0.486328125,7
1.517578125,9
2.7197265625,14
4.2021484375,20
1.251953125,9
0.79296875,7
1.533203125,10
1.5224609375,15
0.7255859375,6
2.5361328125,20
1.384765625,13
0.427734375,6
2.3447265625,16
2.234375,15
2.38671875,17
0.43359375,5
1.205078125,11
3.9560546875,19
1.146484375,8
0.8759765625,7
1.2607421875,9
1.818359375,12
2.6240234375,15
0.2822265625,5
2.5341796875,19
4.119140625,22
2.7998046875,14
3.73828125,26
0.5234375,5
2.7197265625,15
1.0166015625,7
2.9912109375,21
