package,mode,files
ch-qos-logback-logback-classic,base,4312
ch-qos-logback-logback-classic,both,690
ch-qos-logback-logback-classic,erase,4473
ch-qos-logback-logback-classic,inject,692
ch-qos-logback-logback-core,base,9150
ch-qos-logback-logback-core,both,2258
ch-qos-logback-logback-core,erase,10058
ch-qos-logback-logback-core,inject,2244
com-alibaba-fastjson,base,1567
com-alibaba-fastjson,both,814
com-alibaba-fastjson,erase,1695
com-alibaba-fastjson,inject,832
com-fasterxml-jackson-core-jackson-annotations,base,2025
com-fasterxml-jackson-core-jackson-annotations,both,243
com-fasterxml-jackson-core-jackson-annotations,erase,1635
com-fasterxml-jackson-core-jackson-annotations,inject,244
com-fasterxml-jackson-core-jackson-core,base,7507
com-fasterxml-jackson-core-jackson-core,both,1698
com-fasterxml-jackson-core-jackson-core,erase,8604
com-fasterxml-jackson-core-jackson-core,inject,1699
com-fasterxml-jackson-core-jackson-databind,base,14356
com-fasterxml-jackson-core-jackson-databind,both,6964
com-fasterxml-jackson-core-jackson-databind,erase,12211
com-fasterxml-jackson-core-jackson-databind,inject,6952
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,base,805
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,both,231
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,erase,695
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,inject,232
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,base,248
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,both,272
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,erase,244
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,inject,268
com-google-auto-service-auto-service,base,12
com-google-auto-service-auto-service,both,5
com-google-auto-service-auto-service,erase,20
com-google-auto-service-auto-service,inject,5
com-google-code-gson-gson,base,1093
com-google-code-gson-gson,both,342
com-google-code-gson-gson,erase,1266
com-google-code-gson-gson,inject,336
com-google-guava-guava,base,13651
com-google-guava-guava,both,8675
com-google-guava-guava,erase,13237
com-google-guava-guava,inject,8566
com-google-inject-guice,base,9138
com-google-inject-guice,both,1118
com-google-inject-guice,erase,7866
com-google-inject-guice,inject,1112
com-google-protobuf-protobuf-java,base,13830
com-google-protobuf-protobuf-java,both,4900
com-google-protobuf-protobuf-java,erase,14723
com-google-protobuf-protobuf-java,inject,4805
com-h2database-h2,base,12972
com-h2database-h2,both,9394
com-h2database-h2,erase,12660
com-h2database-h2,inject,9563
com-squareup-retrofit2-converter-gson,base,7
com-squareup-retrofit2-converter-gson,both,8
com-squareup-retrofit2-converter-gson,erase,7
com-squareup-retrofit2-converter-gson,inject,8
com-sun-xml-bind-jaxb-impl,base,11948
com-sun-xml-bind-jaxb-impl,both,3470
com-sun-xml-bind-jaxb-impl,erase,9972
com-sun-xml-bind-jaxb-impl,inject,3445
com-thoughtworks-xstream-xstream,base,8261
com-thoughtworks-xstream-xstream,both,1728
com-thoughtworks-xstream-xstream,erase,7565
com-thoughtworks-xstream-xstream,inject,1713
com-zaxxer-HikariCP,base,318
com-zaxxer-HikariCP,both,80
com-zaxxer-HikariCP,erase,324
com-zaxxer-HikariCP,inject,80
commons-beanutils-commons-beanutils,base,8566
commons-beanutils-commons-beanutils,both,1164
commons-beanutils-commons-beanutils,erase,7777
commons-beanutils-commons-beanutils,inject,1161
commons-cli-commons-cli,base,721
commons-cli-commons-cli,both,262
