package,mode,files
ch-qos-logback-logback-classic,base,3624
ch-qos-logback-logback-classic,both,704
ch-qos-logback-logback-classic,erase,3645
ch-qos-logback-logback-classic,inject,704
ch-qos-logback-logback-core,base,9324
ch-qos-logback-logback-core,both,2194
ch-qos-logback-logback-core,erase,10304
ch-qos-logback-logback-core,inject,2193
com-alibaba-fastjson,base,4019
com-alibaba-fastjson,both,997
com-alibaba-fastjson,erase,4501
com-alibaba-fastjson,inject,993
com-fasterxml-jackson-core-jackson-annotations,base,3163
com-fasterxml-jackson-core-jackson-annotations,both,271
com-fasterxml-jackson-core-jackson-annotations,erase,3501
com-fasterxml-jackson-core-jackson-annotations,inject,272
com-fasterxml-jackson-core-jackson-core,base,8883
com-fasterxml-jackson-core-jackson-core,both,1742
com-fasterxml-jackson-core-jackson-core,erase,9775
com-fasterxml-jackson-core-jackson-core,inject,1740
com-fasterxml-jackson-core-jackson-databind,base,15634
com-fasterxml-jackson-core-jackson-databind,both,7317
com-fasterxml-jackson-core-jackson-databind,erase,17619
com-fasterxml-jackson-core-jackson-databind,inject,7307
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,base,602
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,both,235
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,erase,562
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,inject,235
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,base,352
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,both,297
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,erase,262
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,inject,307
com-google-auto-service-auto-service,base,12
com-google-auto-service-auto-service,both,5
com-google-auto-service-auto-service,erase,12
com-google-auto-service-auto-service,inject,5
com-google-code-gson-gson,base,859
com-google-code-gson-gson,both,347
com-google-code-gson-gson,erase,749
com-google-code-gson-gson,inject,346
com-google-guava-guava,base,13116
com-google-guava-guava,both,9074
com-google-guava-guava,erase,16483
com-google-guava-guava,inject,9082
com-google-inject-guice,base,4955
com-google-inject-guice,both,1078
com-google-inject-guice,erase,5473
com-google-inject-guice,inject,1089
com-google-protobuf-protobuf-java,base,18330
com-google-protobuf-protobuf-java,both,5586
com-google-protobuf-protobuf-java,erase,17719
com-google-protobuf-protobuf-java,inject,5604
com-h2database-h2,base,16298
com-h2database-h2,both,9717
com-h2database-h2,erase,11593
com-h2database-h2,inject,9495
com-squareup-retrofit2-converter-gson,base,7
com-squareup-retrofit2-converter-gson,both,8
com-squareup-retrofit2-converter-gson,erase,7
com-squareup-retrofit2-converter-gson,inject,8
com-sun-xml-bind-jaxb-impl,base,6131
com-sun-xml-bind-jaxb-impl,both,3411
com-sun-xml-bind-jaxb-impl,erase,6872
com-sun-xml-bind-jaxb-impl,inject,3405
com-thoughtworks-xstream-xstream,base,10898
com-thoughtworks-xstream-xstream,both,2054
com-thoughtworks-xstream-xstream,erase,11731
com-thoughtworks-xstream-xstream,inject,2046
com-zaxxer-HikariCP,base,252
com-zaxxer-HikariCP,both,84
com-zaxxer-HikariCP,erase,3763
com-zaxxer-HikariCP,inject,84
commons-beanutils-commons-beanutils,base,10519
commons-beanutils-commons-beanutils,both,1294
commons-beanutils-commons-beanutils,erase,9941
commons-beanutils-commons-beanutils,inject,1312
commons-cli-commons-cli,base,954
commons-cli-commons-cli,both,277
commons-cli-commons-cli,erase,785
commons-cli-commons-cli,inject,277
commons-codec-commons-codec,base,6788
commons-codec-commons-codec,both,743
commons-codec-commons-codec,erase,8281
commons-codec-commons-codec,inject,742
commons-fileupload-commons-fileupload,base,2354
commons-fileupload-commons-fileupload,both,280
commons-fileupload-commons-fileupload,erase,1274
commons-fileupload-commons-fileupload,inject,280
commons-io-commons-io,base,10795
commons-io-commons-io,both,2964
commons-io-commons-io,erase,9559
commons-io-commons-io,inject,2950
io-reactivex-rxjava2-rxjava,base,9300
io-reactivex-rxjava2-rxjava,both,4627
io-reactivex-rxjava2-rxjava,erase,7453
io-reactivex-rxjava2-rxjava,inject,4592
io-rest-assured-rest-assured,base,10000
io-rest-assured-rest-assured,both,3033
io-rest-assured-rest-assured,erase,9636
io-rest-assured-rest-assured,inject,3017
jakarta-servlet-jakarta.servlet-api,base,1369
jakarta-servlet-jakarta.servlet-api,both,536
jakarta-servlet-jakarta.servlet-api,erase,1382
jakarta-servlet-jakarta.servlet-api,inject,536
jakarta-xml-bind-jakarta.xml.bind-api,base,2249
jakarta-xml-bind-jakarta.xml.bind-api,both,537
jakarta-xml-bind-jakarta.xml.bind-api,erase,2832
jakarta-xml-bind-jakarta.xml.bind-api,inject,534
javax-enterprise-cdi-api,base,13457
javax-enterprise-cdi-api,both,762
javax-enterprise-cdi-api,erase,12756
javax-enterprise-cdi-api,inject,767
javax-servlet-javax.servlet-api,base,3833
javax-servlet-javax.servlet-api,both,610
javax-servlet-javax.servlet-api,erase,3930
javax-servlet-javax.servlet-api,inject,610
javax-ws-rs-javax.ws.rs-api,base,2997
javax-ws-rs-javax.ws.rs-api,both,1270
javax-ws-rs-javax.ws.rs-api,erase,3273
javax-ws-rs-javax.ws.rs-api,inject,1273
javax-xml-bind-jaxb-api,base,1168
javax-xml-bind-jaxb-api,both,552
javax-xml-bind-jaxb-api,erase,1825
javax-xml-bind-jaxb-api,inject,550
joda-time-joda-time,base,8329
joda-time-joda-time,both,2864
joda-time-joda-time,erase,10030
joda-time-joda-time,inject,2867
org-apache-commons-commons-collections4,base,13768
org-apache-commons-commons-collections4,both,7386
org-apache-commons-commons-collections4,erase,16812
org-apache-commons-commons-collections4,inject,7399
org-apache-commons-commons-compress,base,9013
org-apache-commons-commons-compress,both,3105
org-apache-commons-commons-compress,erase,11148
org-apache-commons-commons-compress,inject,3103
org-apache-commons-commons-lang3,base,13554
org-apache-commons-commons-lang3,both,3952
org-apache-commons-commons-lang3,erase,12508
org-apache-commons-commons-lang3,inject,3946
org-apache-commons-commons-text,base,7211
org-apache-commons-commons-text,both,1021
org-apache-commons-commons-text,erase,6912
org-apache-commons-commons-text,inject,1014
org-apache-logging-log4j-log4j-api,base,6227
org-apache-logging-log4j-log4j-api,both,2107
org-apache-logging-log4j-log4j-api,erase,5864
org-apache-logging-log4j-log4j-api,inject,2104
org-apache-logging-log4j-log4j-core,base,7967
org-apache-logging-log4j-log4j-core,both,5523
org-apache-logging-log4j-log4j-core,erase,10171
org-apache-logging-log4j-log4j-core,inject,5525
org-apache-maven-maven-artifact,base,899
org-apache-maven-maven-artifact,both,224
org-apache-maven-maven-artifact,erase,951
org-apache-maven-maven-artifact,inject,224
org-apache-maven-maven-core,base,5342
org-apache-maven-maven-core,both,2200
org-apache-maven-maven-core,erase,5111
org-apache-maven-maven-core,inject,2200
org-apache-maven-maven-plugin-api,base,3584
org-apache-maven-maven-plugin-api,both,177
org-apache-maven-maven-plugin-api,erase,3093
org-apache-maven-maven-plugin-api,inject,178
org-apache-poi-poi,base,10341
org-apache-poi-poi,both,9010
org-apache-poi-poi,erase,11137
org-apache-poi-poi,inject,9006
org-apache-poi-poi-ooxml,base,11472
org-apache-poi-poi-ooxml,both,5732
org-apache-poi-poi-ooxml,erase,9658
org-apache-poi-poi-ooxml,inject,5732
org-aspectj-aspectjrt,base,2344
org-aspectj-aspectjrt,both,454
org-aspectj-aspectjrt,erase,2662
org-aspectj-aspectjrt,inject,441
org-assertj-assertj-core,base,15524
org-assertj-assertj-core,both,7292
org-assertj-assertj-core,erase,14981
org-assertj-assertj-core,inject,7321
org-bouncycastle-bcpkix-jdk15on,base,13997
org-bouncycastle-bcpkix-jdk15on,both,2431
org-bouncycastle-bcpkix-jdk15on,erase,13884
org-bouncycastle-bcpkix-jdk15on,inject,2429
org-bouncycastle-bcprov-jdk15on,base,21362
org-bouncycastle-bcprov-jdk15on,both,11581
org-bouncycastle-bcprov-jdk15on,erase,21734
org-bouncycastle-bcprov-jdk15on,inject,11742
org-easymock-easymock,base,6279
org-easymock-easymock,both,846
org-easymock-easymock,erase,6237
org-easymock-easymock,inject,845
org-eclipse-jetty-jetty-server,base,7117
org-eclipse-jetty-jetty-server,both,1126
org-eclipse-jetty-jetty-server,erase,6670
org-eclipse-jetty-jetty-server,inject,1125
org-freemarker-freemarker,base,3598
org-freemarker-freemarker,both,1339
org-freemarker-freemarker,erase,3704
org-freemarker-freemarker,inject,1364
org-hamcrest-hamcrest,base,11578
org-hamcrest-hamcrest,both,1048
org-hamcrest-hamcrest-core,base,4
org-hamcrest-hamcrest-core,both,2
org-hamcrest-hamcrest-core,erase,4
org-hamcrest-hamcrest-core,inject,2
org-hamcrest-hamcrest,erase,13238
org-hamcrest-hamcrest,inject,1042
org-hamcrest-hamcrest-library,base,4
org-hamcrest-hamcrest-library,both,2
org-hamcrest-hamcrest-library,erase,4
org-hamcrest-hamcrest-library,inject,2
org-hsqldb-hsqldb,base,6684
org-hsqldb-hsqldb,both,3428
org-hsqldb-hsqldb,erase,3887
org-hsqldb-hsqldb,inject,3429
org-javassist-javassist,base,7421
org-javassist-javassist,both,1682
org-javassist-javassist,erase,7140
org-javassist-javassist,inject,1682
org-jboss-logging-jboss-logging,base,5089
org-jboss-logging-jboss-logging,both,417
org-jboss-logging-jboss-logging,erase,5254
org-jboss-logging-jboss-logging,inject,418
org-jsoup-jsoup,base,8376
org-jsoup-jsoup,both,1009
org-jsoup-jsoup,erase,9365
org-jsoup-jsoup,inject,1012
org-junit-jupiter-junit-jupiter-api,base,6975
org-junit-jupiter-junit-jupiter-api,both,653
org-junit-jupiter-junit-jupiter-api,erase,5379
org-junit-jupiter-junit-jupiter-api,inject,655
org-junit-jupiter-junit-jupiter-engine,base,966
org-junit-jupiter-junit-jupiter-engine,both,242
org-junit-jupiter-junit-jupiter-engine,erase,729
org-junit-jupiter-junit-jupiter-engine,inject,241
org-junit-jupiter-junit-jupiter-params,base,386
org-junit-jupiter-junit-jupiter-params,both,69
org-junit-jupiter-junit-jupiter-params,erase,516
org-junit-jupiter-junit-jupiter-params,inject,69
org-junit-platform-junit-platform-launcher,base,526
org-junit-platform-junit-platform-launcher,both,220
org-junit-platform-junit-platform-launcher,erase,515
org-junit-platform-junit-platform-launcher,inject,220
org-junit-vintage-junit-vintage-engine,base,73
org-junit-vintage-junit-vintage-engine,both,35
org-junit-vintage-junit-vintage-engine,erase,85
org-junit-vintage-junit-vintage-engine,inject,35
org-mockito-mockito-core,base,1560
org-mockito-mockito-core,both,658
org-mockito-mockito-core,erase,1242
org-mockito-mockito-core,inject,669
org-mockito-mockito-junit-jupiter,base,5
org-mockito-mockito-junit-jupiter,both,7
org-mockito-mockito-junit-jupiter,erase,5
org-mockito-mockito-junit-jupiter,inject,7
org-objenesis-objenesis,base,1782
org-objenesis-objenesis,both,210
org-objenesis-objenesis,erase,1509
org-objenesis-objenesis,inject,208
org-ow2-asm-asm,base,442
org-ow2-asm-asm,both,254
org-ow2-asm-asm,erase,413
org-ow2-asm-asm,inject,256
org-postgresql-postgresql,base,10494
org-postgresql-postgresql,both,2503
org-postgresql-postgresql,erase,11310
org-postgresql-postgresql,inject,2505
org-powermock-powermock-api-mockito,base,2801
org-powermock-powermock-api-mockito,both,234
org-powermock-powermock-api-mockito,erase,1828
org-powermock-powermock-api-mockito,inject,231
org-powermock-powermock-module-junit4,base,880
org-powermock-powermock-module-junit4,both,56
org-powermock-powermock-module-junit4,erase,912
org-powermock-powermock-module-junit4,inject,56
org-projectlombok-lombok,base,59
org-projectlombok-lombok,both,19
org-projectlombok-lombok,erase,17
org-projectlombok-lombok,inject,19
org-reflections-reflections,base,3458
org-reflections-reflections,both,474
org-reflections-reflections,erase,3443
org-reflections-reflections,inject,476
org-slf4j-jcl-over-slf4j,base,2283
org-slf4j-jcl-over-slf4j,both,64
org-slf4j-jcl-over-slf4j,erase,4109
org-slf4j-jcl-over-slf4j,inject,64
org-slf4j-jul-to-slf4j,base,5
org-slf4j-jul-to-slf4j,both,6
org-slf4j-jul-to-slf4j,erase,5
org-slf4j-jul-to-slf4j,inject,6
org-slf4j-log4j-over-slf4j,base,561
org-slf4j-log4j-over-slf4j,both,177
org-slf4j-log4j-over-slf4j,erase,332
org-slf4j-log4j-over-slf4j,inject,177
org-slf4j-slf4j-api,base,3926
org-slf4j-slf4j-api,both,266
org-slf4j-slf4j-api,erase,3953
org-slf4j-slf4j-api,inject,266
org-slf4j-slf4j-jdk14,base,114
org-slf4j-slf4j-jdk14,both,14
org-slf4j-slf4j-jdk14,erase,114
org-slf4j-slf4j-jdk14,inject,14
org-slf4j-slf4j-simple,base,16
org-slf4j-slf4j-simple,both,13
org-slf4j-slf4j-simple,erase,16
org-slf4j-slf4j-simple,inject,13
org-spockframework-spock-core,base,4309
org-spockframework-spock-core,both,284
org-spockframework-spock-core,erase,4161
org-spockframework-spock-core,inject,284
org-springframework-security-spring-security-core,base,7658
org-springframework-security-spring-security-core,both,1288
org-springframework-security-spring-security-core,erase,7972
org-springframework-security-spring-security-core,inject,1284
org-springframework-spring-aop,base,8636
org-springframework-spring-aop,both,858
org-springframework-spring-aop,erase,9014
org-springframework-spring-aop,inject,858
org-springframework-spring-beans,base,9992
org-springframework-spring-beans,both,2170
org-springframework-spring-beans,erase,10053
org-springframework-spring-beans,inject,2175
org-springframework-spring-context,base,11020
org-springframework-spring-context,both,2508
org-springframework-spring-context,erase,12003
org-springframework-spring-context,inject,2512
org-springframework-spring-context-support,base,1980
org-springframework-spring-context-support,both,461
org-springframework-spring-context-support,erase,1160
org-springframework-spring-context-support,inject,461
org-springframework-spring-core,base,4863
org-springframework-spring-core,both,3103
org-springframework-spring-core,erase,5517
org-springframework-spring-core,inject,3029
org-springframework-spring-jdbc,base,7678
org-springframework-spring-jdbc,both,1855
org-springframework-spring-jdbc,erase,7662
org-springframework-spring-jdbc,inject,1854
org-springframework-spring-orm,base,8480
org-springframework-spring-orm,both,622
org-springframework-spring-orm,erase,8485
org-springframework-spring-orm,inject,624
org-springframework-spring-test,base,8026
org-springframework-spring-test,both,2087
org-springframework-spring-test,erase,7783
org-springframework-spring-test,inject,2098
org-springframework-spring-tx,base,4642
org-springframework-spring-tx,both,580
org-springframework-spring-tx,erase,3425
org-springframework-spring-tx,inject,579
org-springframework-spring-web,base,8415
org-springframework-spring-web,both,3620
org-springframework-spring-web,erase,7731
