GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,TextAttributesKey.new VolatileNullableLazyValue() {...},8,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,CodeInsightColors,98,0,0,0,36,0,1,0,1,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,ColorKey,86,0,14,0,14,0,16,0,9,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,TextAttributesKey,158,0,22,0,25,0,23,0,12,0
JaCoCo Coverage Report,com.google.gwt.dev.js.parserExceptions,AbortParsingException,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.google.gwt.dev.js.parserExceptions,JsParserException,22,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticProperty,375,0,2,0,62,0,57,0,56,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyBuilder,192,0,16,0,16,0,24,0,16,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyBuilderKt,16,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyAccessor,289,0,4,0,50,0,46,0,44,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,KotlinIrLinkerInternalException,4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.TopLevelSymbolKind,27,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.DefaultImpls,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.IrLinkerExtension.DefaultImpls,8,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,AsmTypes,81,265,27,18,6,67,23,11,3,5
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.PackageCache,7,18,0,0,3,4,1,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDeclarationReturnTypeSanitizer,1,34,1,1,0,5,1,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsKt,0,8,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JdkClassesKt,8,0,0,0,1,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmResolverForModuleFactory.createResolverForModule.moduleClassResolver.new Function1() {...},90,0,10,0,10,0,6,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JavaDescriptorResolver,14,82,7,9,1,10,7,4,0,3
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,SyntheticJavaPartsProvider.Companion,0,12,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmPlatformOverloadsSpecificityComparator,11,66,6,12,1,9,7,5,1,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmAdditionalClassPartsProvider,36,33,8,2,3,5,5,3,0,3
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.CliFinder,26,36,10,6,1,7,9,5,1,5
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,NotFoundPackagesCachingStrategy.Default,0,24,1,5,0,3,1,3,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionInfo.DataFlowExtras.OnlyMessage,14,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmCodeAnalyzerInitializer,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmResolverForModuleFactory,212,0,0,0,44,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade,329,481,92,66,50,106,72,32,5,19
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmPlatformAnnotationFeaturesSupport,46,9,12,0,4,2,7,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsOnDeclarationBodyChecker,223,0,54,0,44,0,34,0,7,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,InlineClassManglingRulesKt,85,100,25,15,6,11,20,8,2,6
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmPrimitiveType,59,236,19,13,5,31,17,9,2,8
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDiagnosticComponents,38,9,10,0,4,2,6,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmOverloadFilter,16,57,5,7,3,10,4,3,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmOverridesBackwardCompatibilityHelper,119,0,17,0,22,0,12,0,3,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionInfo,6,12,0,0,0,1,2,1,2,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmAdditionalClassPartsProviderKt,4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionInfo.Companion,2,59,2,18,0,12,2,10,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.NonCliFinder,77,0,14,0,12,0,12,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmCompilerDeserializationConfiguration,0,12,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsDataFlowExtras,0,49,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmTypeSpecificityComparatorDelegate,0,14,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDelegationFilter,62,0,18,0,9,0,12,0,3,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.new PsiModificationTracker.Listener() {...},17,12,2,0,5,2,2,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.new BulkFileListener() {...},55,6,22,0,10,1,12,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.NonCliFinder.new CommonProcessors.FindProcessor() {...},11,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmClassName,81,103,22,8,8,17,19,8,4,8
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,CompositeSyntheticJavaPartsProvider,54,102,0,0,2,11,1,7,1,7
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDeclarationReturnTypeSanitizer.sanitizeReturnType.new Function1() {...},12,0,2,0,1,0,2,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmBindingContextSlices,0,31,0,0,0,7,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmConstantsKt,52,0,14,0,9,0,8,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.KotlinPsiElementFinderWrapperImplDumbAware,5,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsDataFlowExtras.dataFlowValue.new Function0() {...},0,15,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,NotFoundPackagesCachingStrategy.CacheType,0,21,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmTypeSpecificityComparator,5,56,2,8,0,9,3,5,1,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.KotlinPsiElementFinderWrapperImpl,43,0,10,0,7,0,10,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmPlatformParameters,48,0,0,0,6,0,6,0,6,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsTypeChecker,0,46,1,5,0,8,1,3,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsOnExtensionReceiverCallChecker,4,82,4,8,0,15,4,4,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,ConstantsChecker,55,0,10,0,11,0,10,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,IrSimpleTypeImpl,136,0,4,0,17,0,13,0,11,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,ReturnTypeIsNotInitializedException,17,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,IrCapturedType.Constructor,34,0,0,0,5,0,5,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,IrTypeAbbreviationBuilder,43,0,0,0,5,0,9,0,9,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,IrDynamicTypeImpl,28,0,0,0,6,0,5,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.types.impl,IrDelegatedSimpleType,33,0,0,0,7,0,7,0,7,0
