GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.MainNodeFormatter,524,0,70,0,112,0,60,0,25,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,NodeRepositoryFormatter.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,NodeFormattingHandler,13,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.MainNodeFormatter.SubNodeFormatter,141,0,0,0,35,0,24,0,24,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,RenderPurpose,44,0,0,0,5,0,1,0,1,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,NodeRepositoryFormatter,407,0,61,0,86,0,44,0,10,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter,474,0,2,0,81,0,16,0,15,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,FormattingPhase,54,0,0,0,6,0,1,0,1,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,MarkdownWriter,514,0,18,0,96,0,82,0,73,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.new NodeFormatterFactory() {...},11,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.new Iterable() {...},5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.new Iterator() {...},8,0,0,0,4,0,4,0,4,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,Formatter.Builder,172,0,12,0,34,0,15,0,9,0
JaCoCo Coverage Report,com.vladsch.flexmark.formatter,NodeFormatterSubContext,32,0,0,0,12,0,6,0,6,0
